,Tweet,handle,tweet_text,Polarity,Subjectivity
618,@united disappointed that u didnt honor my $100 credit given to me for ur mistakes. Taking my business elsewhere  ✌️out.,@united, disappointed that u didnt honor my $100 credit given to me for ur mistakes. Taking my business elsewhere  ✌️out.,-0.75,0.75
622,@united does this process ever end? Still waiting for the reply since 2 months #pathetic #customerservice,@united, does this process ever end? Still waiting for the reply since 2 months #pathetic #customerservice,-1.0,1.0
634,@united This isn't a one time thing either! It's a shocking pattern of repeated neglect and disrespect.,@united, This isn't a one time thing either! It's a shocking pattern of repeated neglect and disrespect.,-1.0,1.0
661,@united very unhappy at no response to complaint emailed on 2nd Feb ref.8441639. Awful customer service!,@united, very unhappy at no response to complaint emailed on 2nd Feb ref.8441639. Awful customer service!,-0.52,0.55
672,@united I'm so frustrated and nervous because of this.,@united, I'm so frustrated and nervous because of this.,-0.7,0.2
673,@united are the ones who make it difficult for me.,@united, are the ones who make it difficult for me.,-0.5,1.0
686,@united YOU GUYS ARE HORRIBLE.,@united, YOU GUYS ARE HORRIBLE.,-1.0,1.0
691,@united AND my luggage has been broken!! #youcouldntmakethis up #brokenwheel,@united, AND my luggage has been broken!! #youcouldntmakethis up #brokenwheel,-0.625,0.4
710,"@united customer service is atrocious! You have disrupted my travel plans, you have lost my luggage and it is impossible to TALK TO A HUMAN",@united," customer service is atrocious! You have disrupted my travel plans, you have lost my luggage and it is impossible to TALK TO A HUMAN",-0.5138888888888888,0.7000000000000001
731,@united   It's too bad UA has had another unforeseeable operational issue on my return flight.,@united,   It's too bad UA has had another unforeseeable operational issue on my return flight.,-0.6999999999999998,0.6666666666666666
734,@united so 8 hotels for 32 people but feel like we are being held hostage because someone has our boarding passes so we can't leave! #FAIL,@united, so 8 hotels for 32 people but feel like we are being held hostage because someone has our boarding passes so we can't leave! #FAIL,-0.5,0.29999999999999993
750,@united you are offering us 8 rooms for 32 people #FAIL,@united, you are offering us 8 rooms for 32 people #FAIL,-0.5,0.29999999999999993
761,"@united at its worse. Can't figure how to pack plane, screws up connectns then claims no hotl rooms in San Fran for stranded pax. Way to go!",@united," at its worse. Can't figure how to pack plane, screws up connectns then claims no hotl rooms in San Fran for stranded pax. Way to go!",-0.5,0.6
783,@united seriously #fail on making strangers share a room,@united, seriously #fail on making strangers share a room,-0.5,0.29999999999999993
814,@united agent helps the person in front of me.  Finishes up with them and then walks away.  The guy behind me is as shocked as I am.,@united, agent helps the person in front of me.  Finishes up with them and then walks away.  The guy behind me is as shocked as I am.,-0.55,0.75
819,@united  Delay DEN-CLE because they have to manually enter baggage tags? Really? Worst cust service day for this 1ker. #friendlyskies??,@united,  Delay DEN-CLE because they have to manually enter baggage tags? Really? Worst cust service day for this 1ker. #friendlyskies??,-1.0,1.0
824,@united has once again let me down. Don't think I've ever flown with them and not had problems. Worst airline period.,@united, has once again let me down. Don't think I've ever flown with them and not had problems. Worst airline period.,-0.5777777777777778,0.6444444444444445
866,"@united is horrible!! They lost our carseat and expect us to use a loner carseat, safety regulations say it's illegal to use a used car seat",@united," is horrible!! They lost our carseat and expect us to use a loner carseat, safety regulations say it's illegal to use a used car seat",-0.75,0.75
870,"@united: I don't care that a @thehipmunk link showed me a ""wrong"" price on your site—it's your site &amp; responsibility to ensure correctness.",@united:," I don't care that a  link showed me a ""wrong"" price on your site—it's your site &amp; responsibility to ensure correctness.",-0.5,0.9
880,@united like continental's chicken feat fairs,@united, like continental's chicken feat fairs,-0.6,0.95
903,@united FAIL You Cancelled Flightled our flight frm GJT and then used our reserv home to IAH (from SEA) for reFlight Booking Problems w/out OUR PERMISSION!! #PH6RPS,@united, FAIL You Cancelled Flightled our flight frm GJT and then used our reserv home to IAH (from SEA) for reFlight Booking Problems w/out OUR PERMISSION!! #PH6RPS,-0.78125,0.29999999999999993
912,@united your customer service is terrible! Stood inline 3 hours no flights and 4 hours Late Flightr still no bag#disgutedindenver,@united, your customer service is terrible! Stood inline 3 hours no flights and 4 hours Late Flightr still no bag#disgutedindenver,-0.65,0.8
939,@united Exhausted &amp; frustrated! Link to a FB post abt my travel issue https://t.co/LaRKC8vc4s,@united, Exhausted &amp; frustrated! Link to a FB post abt my travel issue https://t.co/LaRKC8vc4s,-0.6375,0.44999999999999996
942,@united I've never experienced worst customer service. Placing blame on codeshare partners and not assuming responsibility is unacceptable,@united, I've never experienced worst customer service. Placing blame on codeshare partners and not assuming responsibility is unacceptable,-0.7,0.95
944,"@United fucked up, then voided my ticket, and KEPT MY MONEY.  Not even an apology. I will never fly with your airline again. #UnitedAirlines",@United," fucked up, then voided my ticket, and KEPT MY MONEY.  Not even an apology. I will never fly with your airline again. #UnitedAirlines",-0.5,0.8
945,@united has the WORST customer svcs! This Kevin rep at call center must be investigated. My baggage's lost and there's no help but argument!,@united, has the WORST customer svcs! This Kevin rep at call center must be investigated. My baggage's lost and there's no help but argument!,-0.5625,0.55
946,@united should NOT sell tickets for @SilverAirways on http://t.co/onhXHCO6bK.  has terrible service and UA staff cannot reach Silver,@united, should NOT sell tickets for  on http://t.co/onhXHCO6bK.  has terrible service and UA staff cannot reach Silver,-1.0,1.0
951,"@united yes, after this awful weather it appears I can get home",@united," yes, after this awful weather it appears I can get home",-1.0,1.0
952,@united yes lots. You have terrible customer service at Newark and despite raising a complaint there we were ignored hence the tweet,@united, yes lots. You have terrible customer service at Newark and despite raising a complaint there we were ignored hence the tweet,-0.65,0.6
963,@united this is atrocious customer service.,@united, this is atrocious customer service.,-0.7,1.0
969,@united of course I did. The bag should be here by now :( #frustrated,@united, of course I did. The bag should be here by now :( #frustrated,-0.725,0.6
970,@united you are the worst. I will avoid you like the plague.,@united, you are the worst. I will avoid you like the plague.,-1.0,1.0
971,@united is the worst airline in the world.,@united, is the worst airline in the world.,-1.0,1.0
972,@united someone needs to DM me and resolve this correctly. Extremely disappointed with the service I received. Terrible management.,@united, someone needs to DM me and resolve this correctly. Extremely disappointed with the service I received. Terrible management.,-0.875,0.875
978,@united the least you could do is offer me a ticket in coach instead of just Cancelled Flighting my reservation because of your glitch!!! #notfair,@united, the least you could do is offer me a ticket in coach instead of just Cancelled Flighting my reservation because of your glitch!!! #notfair,-0.5859375,0.4
979,"@united I'm saying I made the flight but with poor/non-communication, unaccounted for lost time &amp; lots of frustrated flyers standing around",@united," I'm saying I made the flight but with poor/non-communication, unaccounted for lost time &amp; lots of frustrated flyers standing around",-0.7,0.2
1009,@united Read my bio. See who I work with. I have NEVER encountered this with your airline before. Disappointed is an understatement.,@united, Read my bio. See who I work with. I have NEVER encountered this with your airline before. Disappointed is an understatement.,-0.75,0.75
1026,@united have been waiting 2 days for my military bags from an airport 3 hours away from me. Horrible.,@united, have been waiting 2 days for my military bags from an airport 3 hours away from me. Horrible.,-0.55,0.55
1028,@united is doing musicians real dirty at LAX. I've never been blocked from getting on a flight with my bass.,@united, is doing musicians real dirty at LAX. I've never been blocked from getting on a flight with my bass.,-0.5249999999999999,0.75
1045,@united it's like you're trying to make me hate your airline. Fee for each checked bag that's never mentioned in the ticket + rude agents 👿,@united, it's like you're trying to make me hate your airline. Fee for each checked bag that's never mentioned in the ticket + rude agents 👿,-0.55,0.75
1092,"@united it was UA381 on 14 Feb. Point is, overselling flights= bad. Making people wait 1hr while you kick them off after boarding is worse",@united," it was UA381 on 14 Feb. Point is, overselling flights= bad. Making people wait 1hr while you kick them off after boarding is worse",-0.5499999999999999,0.6333333333333333
1098,@united UA5396 can wait for me. I'm on the ground trying to get to the gate after we were moved to B. This is crap.,@united, UA5396 can wait for me. I'm on the ground trying to get to the gate after we were moved to B. This is crap.,-0.8,0.8
1100,@united fails again. @SouthwestAir saves the day.,@united, fails again.  saves the day.,-0.5,0.3
1118,@united there are a lot of unhappy cold people on the bridge in freezing temps for an hour. Not given any info.,@united, there are a lot of unhappy cold people on the bridge in freezing temps for an hour. Not given any info.,-0.6,0.95
1148,"@united sorry for the delayed response. It was UA #381 Chicago to San Fran. Held up for almost an hour on the Tarmac. Also, lost my bags",@united," sorry for the delayed response. It was UA #381 Chicago to San Fran. Held up for almost an hour on the Tarmac. Also, lost my bags",-0.5,1.0
1182,@united already done that. the answer i got was... oops we can give you miles and we're very sorry. but who pays for my discomfort for 9 h?,@united, already done that. the answer i got was... oops we can give you miles and we're very sorry. but who pays for my discomfort for 9 h?,-0.65,1.0
1184,@united Do we know why UA5282 is delayed x2)? This is getting crazy. I've already had 2 overnight delays. #UnitedAirlines,@united, Do we know why UA5282 is delayed x2)? This is getting crazy. I've already had 2 overnight delays. #UnitedAirlines,-0.6,0.9
1197,@united you are the worst airline in the world! From your crap website to your worthless app to your Late Flight flight. You SUCK! Just shut down.,@united, you are the worst airline in the world! From your crap website to your worthless app to your Late Flight flight. You SUCK! Just shut down.,-0.6261111111111111,0.7177777777777778
1214,"@united is the worst. Worst reservation policies. Worst costumer service. Worst worst worst. Congrats, @Delta you're not that bad!",@united," is the worst. Worst reservation policies. Worst costumer service. Worst worst worst. Congrats,  you're not that bad!",-0.9821428571428571,0.9523809523809524
1215,@united I am trying to make/change reservations and getting extremely frustrated!!! Giving up and trying another airline!!!,@united, I am trying to make/change reservations and getting extremely frustrated!!! Giving up and trying another airline!!!,-1.0,0.2
1238,"@united working with Lisa J at ORD. she's working hard for us, but this is still VERY disappointing. was on 634 to EWR.",@united," working with Lisa J at ORD. she's working hard for us, but this is still VERY disappointing. was on 634 to EWR.",-0.5358333333333334,0.7258333333333333
1252,@united We were supposed to board at 605. They just brought the plane from the hanger! WTF did they not know there was a flight?1153 Lax-EWR,@united, We were supposed to board at 605. They just brought the plane from the hanger! WTF did they not know there was a flight?1153 Lax-EWR,-0.5,1.0
1273,@united I understand ppl make mistakes but don't code something in a way that we can't get reimbursed when it's YOUR fault. Just blatant LIE,@united, I understand ppl make mistakes but don't code something in a way that we can't get reimbursed when it's YOUR fault. Just blatant LIE,-0.5,0.5
1278,@United how is it that I book a flight with a reserved seat and then go to check in and find out I have no seat?  WTF.,@United, how is it that I book a flight with a reserved seat and then go to check in and find out I have no seat?  WTF.,-0.5,1.0
1323,@united very poor customer service. I WILL think again befor Flight Booking Problems another United flight.,@united, very poor customer service. I WILL think again befor Flight Booking Problems another United flight.,-0.52,0.78
1349,@united it's 430am and wife still doesn't have her luggage which was promised by 8pm and said to be on its way File number: DCA48810M #Fail,@united, it's 430am and wife still doesn't have her luggage which was promised by 8pm and said to be on its way File number: DCA48810M #Fail,-0.5,0.29999999999999993
1353,@united you are terrible.,@united, you are terrible.,-1.0,1.0
1374,"@united after a Cancelled Flighted flight, and 2 delays, you lost my luggage AGAIN! You're the WORST! Disgraceful! Awful company, horrible service!",@united," after a Cancelled Flighted flight, and 2 delays, you lost my luggage AGAIN! You're the WORST! Disgraceful! Awful company, horrible service!",-1.0,1.0
1389,@united checked me in through security under the wrong name and given the wrong boarding pass. #AirlineSecurity,@united, checked me in through security under the wrong name and given the wrong boarding pass. #AirlineSecurity,-0.5,0.9
1396,"@united It's the horrible attitude from staff after , not just the delay. Not the level of service or respect one expects from United",@united," It's the horrible attitude from staff after , not just the delay. Not the level of service or respect one expects from United",-1.0,1.0
1401,"@United Over the last week, United has provided me with the worst customer service experience of my life. Disgusting. #united",@United," Over the last week, United has provided me with the worst customer service experience of my life. Disgusting. #united",-0.6666666666666666,0.6888888888888888
1408,@united I'm desperately trying to understand how my girlfriend is being treated with this Cancelled Flightled/delayed flight.  #unacceptable #ORD,@united, I'm desperately trying to understand how my girlfriend is being treated with this Cancelled Flightled/delayed flight.  #unacceptable #ORD,-0.6,1.0
1422,@united customer service is the WORST. hanging up on customers intentionally after one hour on hold.,@united, customer service is the WORST. hanging up on customers intentionally after one hour on hold.,-1.0,1.0
1435,@united Flight 472 from ORD couldn't let me know about this? Found out via app minutes before landing. Awful flight. http://t.co/DQJl8vZ2h2,@united, Flight 472 from ORD couldn't let me know about this? Found out via app minutes before landing. Awful flight. http://t.co/DQJl8vZ2h2,-1.0,1.0
1445,"@united worst flights I've ever had. ground crew ignored our plane, made me miss flight and now I have to cover the cost of a hotel. #DEN",@united," worst flights I've ever had. ground crew ignored our plane, made me miss flight and now I have to cover the cost of a hotel. #DEN",-1.0,1.0
1450,@united yes I did. Terrible service from your courrier,@united, yes I did. Terrible service from your courrier,-1.0,1.0
1484,@united i did but i got nothing from it. Just dissapointment =(,@united, i did but i got nothing from it. Just dissapointment =(,-0.75,1.0
1488,@united time to give up my 1K status and switch to @Delta - you are so terrible I can't even describe.,@united, time to give up my 1K status and switch to  - you are so terrible I can't even describe.,-1.0,1.0
1497,@united what about the poor customer service at checkin at Kansas KCI?!? That's it???,@united, what about the poor customer service at checkin at Kansas KCI?!? That's it???,-0.5,0.6
1500,@united I sent a message. It's very irresponsible that my suitcase cannot be found. This is truly worst service ever... #fedup #disastrous,@united, I sent a message. It's very irresponsible that my suitcase cannot be found. This is truly worst service ever... #fedup #disastrous,-0.5,0.7000000000000001
1514,@united Well I can tell you that your customer service at RDU airport is horrific but is exception at O'Hare in Chicago.,@united, Well I can tell you that your customer service at RDU airport is horrific but is exception at O'Hare in Chicago.,-1.0,1.0
1522,@united resolved and im sick and tired of waiting on you. I want my refund and I'd like to speak to someone about it.,@united, resolved and im sick and tired of waiting on you. I want my refund and I'd like to speak to someone about it.,-0.5571428571428572,0.7785714285714285
1530,@united yes. Bags came 1 hr after I arrived at baggage claim. Awful experience on the ground at BHM,@united, yes. Bags came 1 hr after I arrived at baggage claim. Awful experience on the ground at BHM,-1.0,1.0
1536,@united your seats are god awful.,@united, your seats are god awful.,-1.0,1.0
1567,@united might possibly have the worst service on the planet.,@united, might possibly have the worst service on the planet.,-0.5,1.0
1585,@united UA1565 IAH -&gt; SJO is delayed by like 1.5 hours. Crazy!,@united, UA1565 IAH -&gt; SJO is delayed by like 1.5 hours. Crazy!,-0.75,0.9
1586,@united I don't know my flight details bc I need to explore some options which I'm unable to do bc the site won't let me.Seems to be ongoing,@united, I don't know my flight details bc I need to explore some options which I'm unable to do bc the site won't let me.Seems to be ongoing,-0.5,0.5
1588,@united I did. they told us the wrong carousel number.,@united, I did. they told us the wrong carousel number.,-0.5,0.9
1592,@united why do you hate your passengers?,@united, why do you hate your passengers?,-0.8,0.9
1605,"@united flight 3870 to Newark, stuck in the runway. About to miss my connection and they are just sorry for my inconvenience!!!!!!",@united," flight 3870 to Newark, stuck in the runway. About to miss my connection and they are just sorry for my inconvenience!!!!!!",-1.0,1.0
1615,"@united Unfortunately had a bad experience flying with you on Saturday. Inpolite crew, bad delays.",@united," Unfortunately had a bad experience flying with you on Saturday. Inpolite crew, bad delays.",-0.6333333333333332,0.7777777777777777
1631,@united you always surprise me with the awfulness of your airline. You guys suck. #worst,@united, you always surprise me with the awfulness of your airline. You guys suck. #worst,-1.0,1.0
1657,@united 8 hours Late Flightr and I'm siting on another plane waiting to leave. I think a credit is in order for this terrible service!,@united, 8 hours Late Flightr and I'm siting on another plane waiting to leave. I think a credit is in order for this terrible service!,-0.65,0.8
1675,@united worst flying experience ever and they tried to blame it on ATC?! I watched them load bags for 30min after boarding 45min Late Flight,@united, worst flying experience ever and they tried to blame it on ATC?! I watched them load bags for 30min after boarding 45min Late Flight,-0.65,0.8
1695,@united is by far THE WORST airline I've ever had the misfortune of flying with in all the 44 countries I've flown to!!! It's outrageous!,@united, is by far THE WORST airline I've ever had the misfortune of flying with in all the 44 countries I've flown to!!! It's outrageous!,-0.6333333333333333,1.0
1708,@united the costumer services here at Denver Intl Airport is ridiculous bad!,@united, the costumer services here at Denver Intl Airport is ridiculous bad!,-0.6041666666666665,0.8333333333333333
1751,"@united Your baggage tracking system is worthless! It tells me nothing about where the bag is, much less what your plans are to get it to me",@united," Your baggage tracking system is worthless! It tells me nothing about where the bag is, much less what your plans are to get it to me",-0.5833333333333334,0.48333333333333334
1753,@united thank you for letting me down.My luggage is still in Denver but I'm in Phl. #neveragain #flyingwithUS #disappointed #lostacustomer,@united, thank you for letting me down.My luggage is still in Denver but I'm in Phl. #neveragain #flyingwithUS #disappointed #lostacustomer,-0.75,0.75
1757,@united so disgusted and disappointed with united airlines luggage policies and attitude toward musicians. Unacceptable,@united, so disgusted and disappointed with united airlines luggage policies and attitude toward musicians. Unacceptable,-0.875,0.875
1763,@united has terrible customer service &amp; doesn't feel the need to notify its customers when their flights are delayed,@united, has terrible customer service &amp; doesn't feel the need to notify its customers when their flights are delayed,-1.0,1.0
1814,"@united I'm not sure how you can help. Your flight experience is terrible, planes are dirty and staff is rude. Start over perhaps?",@united," I'm not sure how you can help. Your flight experience is terrible, planes are dirty and staff is rude. Start over perhaps?",-0.5375,0.8222222222222223
1821,@united I unfortunately didn't get her name :( she was not nice!,@united, I unfortunately didn't get her name :( she was not nice!,-0.5416666666666666,1.0
1828,@united never flying United again! Worst experience ever,@united, never flying United again! Worst experience ever,-1.0,1.0
1880,@united oh I did. Was still lost. Your tracking system stinks as does the delivery system.,@united, oh I did. Was still lost. Your tracking system stinks as does the delivery system.,-0.6,0.5
1915,@united is a joke.  Lots of angry people at IAH this AM.,@united, is a joke.  Lots of angry people at IAH this AM.,-0.5,1.0
1931,@united thank you for fully boarding flight 1689 this morning before noticing we had no pilots. #fail,@united, thank you for fully boarding flight 1689 this morning before noticing we had no pilots. #fail,-0.5,0.29999999999999993
1958,@United DO NOT FLY UNITED WITH CHECKED BAGGAGE! It will never find you!,@United, DO NOT FLY UNITED WITH CHECKED BAGGAGE! It will never find you!,-0.5,0.9
1964,@united I would never fly United Airlines again!,@united, I would never fly United Airlines again!,-0.5,0.9
1984,@united sister &amp; BIL stuck in Detroit desperately need to be in Florida flying w/ @USAirways is there anything you can do?,@united, sister &amp; BIL stuck in Detroit desperately need to be in Florida flying w/  is there anything you can do?,-0.6,1.0
1985,@united overbooked by FIFTY people?!? the worst.,@united, overbooked by FIFTY people?!? the worst.,-1.0,1.0
1994,"@united Also, your phone customer service is almost useless. http://t.co/Mb3bJwGOAp",@united," Also, your phone customer service is almost useless. http://t.co/Mb3bJwGOAp",-0.5,0.2
2028,@united  once again your customer service at the providence airport was horrible. Do you actually care about customers or just making money?,@united,  once again your customer service at the providence airport was horrible. Do you actually care about customers or just making money?,-0.5,0.55
2033,@united you told me you changed my flight and im in the ottawa airport and AC cant find my reservation! Whats wrong with you,@united, you told me you changed my flight and im in the ottawa airport and AC cant find my reservation! Whats wrong with you,-0.5,0.9
2034,@united This has been the WORST flight experience I've ever had. Thank you for ending my vacation on such a bad note.,@united, This has been the WORST flight experience I've ever had. Thank you for ending my vacation on such a bad note.,-0.5666666666666665,0.7222222222222222
2045,@united it's disgusting and unconscionable the treatment I've received tonight.,@united, it's disgusting and unconscionable the treatment I've received tonight.,-1.0,1.0
2053,@united absolutely disgusting the way you treat your customers. Isn't there anyone actively monitoring your Cust serve? This is  unreal!!,@united, absolutely disgusting the way you treat your customers. Isn't there anyone actively monitoring your Cust serve? This is  unreal!!,-0.6041666666666666,0.8
2057,@united you're customer service is unbelievably bad. Abysmal. I've been on the phone for well over 2hrs tonight. Hung up on by yr ppl 3x.,@united, you're customer service is unbelievably bad. Abysmal. I've been on the phone for well over 2hrs tonight. Hung up on by yr ppl 3x.,-0.6999999999999998,0.6666666666666666
2095,@united worst customer service experience ever. 40 minutes to get the jetway to the plane at EWR tonight. Flight 354   Disappointed,@united, worst customer service experience ever. 40 minutes to get the jetway to the plane at EWR tonight. Flight 354   Disappointed,-0.875,0.875
2121,@united I'm extremely disappointed w my service for this trip as a #United #MileagePlus Explorer Card holder.,@united, I'm extremely disappointed w my service for this trip as a #United #MileagePlus Explorer Card holder.,-0.75,0.75
2125,@united sadly this wasnt just due to mother nature investigate this incident and your employees at sfo. Terrible customer experience,@united, sadly this wasnt just due to mother nature investigate this incident and your employees at sfo. Terrible customer experience,-0.5416666666666666,0.7916666666666666
2142,"@united sitting in Denver airport waiting for a plane to be refueled. For an hour and a half! Hurry the fuck up United, you fucking retards",@united," sitting in Denver airport waiting for a plane to be refueled. For an hour and a half! Hurry the fuck up United, you fucking retards",-0.5027777777777778,0.5888888888888889
2144,@united I'm rebooked on a flight tomorrow even though I had 1st class seat orig I have a lousy coach seat,@united, I'm rebooked on a flight tomorrow even though I had 1st class seat orig I have a lousy coach seat,-0.5,0.5
2161,@united has once again earned a place as the worst airline in the business,@united, has once again earned a place as the worst airline in the business,-1.0,1.0
2178,@united My contact stuff is in the bag and I'm legally blind. This is so messed up.,@united, My contact stuff is in the bag and I'm legally blind. This is so messed up.,-0.5,0.6666666666666666
2183,@united Which just speaks to basically the worst designed web system ever.,@united, Which just speaks to basically the worst designed web system ever.,-1.0,1.0
2190,.@united Your airline is again rated the WORST in America so you've got your work cut out for you. It's bc you treat customers like garbage.,,. Your airline is again rated the WORST in America so you've got your work cut out for you. It's bc you treat customers like garbage.,-1.0,1.0
2195,@united you're terrible.,@united, you're terrible.,-1.0,1.0
2199,"@united EWR TO MCO made unplanned landing because of pressurization failure. Worst pain I've EVER felt, I thought I was going to pass out",@united," EWR TO MCO made unplanned landing because of pressurization failure. Worst pain I've EVER felt, I thought I was going to pass out",-0.6583333333333333,0.65
2212,@united is the worst,@united, is the worst,-1.0,1.0
2218,"@united #customerservice at @Dulles_Airport could not be worse. I get the bad weather, but this is awful.",@united," #customerservice at  could not be worse. I get the bad weather, but this is awful.",-0.6999999999999998,0.7555555555555555
2223,"@united unfortunately, they didn't. I asked the staff if they could help. they said we should ask ppl in our row to switch, but no one would",@united," unfortunately, they didn't. I asked the staff if they could help. they said we should ask ppl in our row to switch, but no one would",-0.5,1.0
2242,@united Can you help me get a flight out tonight to Houston?Just don't want to be stuck here till Monday with all this bad weather moving in,@united, Can you help me get a flight out tonight to Houston?Just don't want to be stuck here till Monday with all this bad weather moving in,-0.6999999999999998,0.6666666666666666
2243,@united website says my flight is on time. It leaves in 15 min and nobody has boarded yet. #pathetic #needtobehonest,@united, website says my flight is on time. It leaves in 15 min and nobody has boarded yet. #pathetic #needtobehonest,-1.0,1.0
2276,@united We've let you know how to help the millions of customers you've treated like garbage. It's no coincidence ur ranked WORST airline.,@united, We've let you know how to help the millions of customers you've treated like garbage. It's no coincidence ur ranked WORST airline.,-1.0,1.0
2284,@united Flight:UA1750 is basically a prison on the runway @ SFO 6delays 4hrs of sitting no water no answers. reminded y I hate this airline,@united, Flight:UA1750 is basically a prison on the runway @ SFO 6delays 4hrs of sitting no water no answers. reminded y I hate this airline,-0.8,0.9
2295,@united - any way to get a message to an international flight gate at EWR?      Road conditions are horrible trying to get to flight ...,@united, - any way to get a message to an international flight gate at EWR?      Road conditions are horrible trying to get to flight ...,-0.5,0.5
2313,@united meant changed planes - i hate seating over wing if u wanted I would have booked it - u will get formal complaint,@united, meant changed planes - i hate seating over wing if u wanted I would have booked it - u will get formal complaint,-0.55,0.55
2332,@united we are sitting on the runway for 2 hours! It is ridiculous!!,@united, we are sitting on the runway for 2 hours! It is ridiculous!!,-0.5208333333333333,1.0
2337,@united please don't take my membership away :(,@united, please don't take my membership away :(,-0.75,1.0
2338,"@united. Please get me an economy plus seat. Awful day of 2 Cancelled Flighted flights, after lots of planning.",@united.," Please get me an economy plus seat. Awful day of 2 Cancelled Flighted flights, after lots of planning.",-1.0,1.0
