,Tweet,handle,tweet_text,Polarity,Subjectivity
141,@VirginAmerica best customer service rep in the world! #irmafromDallas takes the cake!!!,@VirginAmerica, best customer service rep in the world! #irmafromDallas takes the cake!!!,1.0,0.3
142,@VirginAmerica Can you find us a flt out of LAX that is sooner than midnight on Monday? That would be great customer service 😃,@VirginAmerica, Can you find us a flt out of LAX that is sooner than midnight on Monday? That would be great customer service 😃,0.8,0.75
144,@VirginAmerica you have amazing staff &amp; super helpful as I just ran the @WaltDisneyWorld #PrincessHalf they have spoiled me with comfort!!!,@VirginAmerica, you have amazing staff &amp; super helpful as I just ran the  #PrincessHalf they have spoiled me with comfort!!!,0.6255208333333333,0.7833333333333333
147,Always have it together!!! You're welcome! RT @VirginAmerica: @jessicajaymes You're so welcome.,,Always have it together!!! You're welcome! RT   You're so welcome.,0.9,0.9
152,@VirginAmerica thank you for checking in. tickets are purchased and customer is happy ;-),@VirginAmerica, thank you for checking in. tickets are purchased and customer is happy ;-),0.525,1.0
180,@VirginAmerica can you please have flights in  SJC ? I have no choice but to fly Southwest to Vegas 😩😭,@VirginAmerica, can you please have flights in  SJC ? I have no choice but to fly Southwest to Vegas 😩😭,0.8,0.9
204,@VirginAmerica Keep up the great work :),@VirginAmerica, Keep up the great work :),0.65,0.875
205,@VirginAmerica my goodness your people @love field are amazing under pressure ❤️from Texas #beatstheothers in crisis Please fly me to NY,@VirginAmerica, my goodness your people  field are amazing under pressure ❤️from Texas #beatstheothers in crisis Please fly me to NY,0.7000000000000001,0.9
222,@VirginAmerica when are you putting some great deals from PDX to LAS or from LAS to PDX show me your love! http://t.co/enIQg0buzj,@VirginAmerica, when are you putting some great deals from PDX to LAS or from LAS to PDX show me your love! http://t.co/enIQg0buzj,0.7125,0.675
229,@VirginAmerica You have the best flight attendant ever!!! http://t.co/PxdEL1nq3l,@VirginAmerica, You have the best flight attendant ever!!! http://t.co/PxdEL1nq3l,0.6953125,0.35
230,"Awesome! RT @VirginAmerica: Watch nominated films at 35,000 feet. #MeetTheFleet #Oscars http://t.co/DnStITRzWy",,"Awesome! RT  Watch nominated films at 35,000 feet. #MeetTheFleet #Oscars http://t.co/DnStITRzWy",1.0,1.0
234,@VirginAmerica Very nicely done. 👏,@VirginAmerica, Very nicely done. 👏,0.78,1.0
246,@VirginAmerica Thanks for your great customer service today &amp; for helping me get all my travel sorted out!,@VirginAmerica, Thanks for your great customer service today &amp; for helping me get all my travel sorted out!,0.6,0.475
272,@VirginAmerica your inflight team makes the experience #amazing!,@VirginAmerica, your inflight team makes the experience #amazing!,0.7500000000000001,0.9
273,@VirginAmerica cutest salt and pepper shaker ever. Just when I think you guys can't get any better you just do! http://t.co/vC6Keulg2J,@VirginAmerica, cutest salt and pepper shaker ever. Just when I think you guys can't get any better you just do! http://t.co/vC6Keulg2J,0.625,0.5
278,👍👍✈️✈️💗 When are you guys going to start flying to Paris? @VirginAmerica: @LizaUtter You're welcome.”,,👍👍✈️✈️💗 When are you guys going to start flying to Paris?   You're welcome.”,0.8,0.9
288,@VirginAmerica husband and I ordered three drinks via my screen and they never came. Awesome!,@VirginAmerica, husband and I ordered three drinks via my screen and they never came. Awesome!,1.0,1.0
294,@VirginAmerica Results Handily Exceed Forecasts - @NYTimes http://t.co/gonmRwEM6I,@VirginAmerica, Results Handily Exceed Forecasts -  http://t.co/gonmRwEM6I,0.6,0.9
303,@VirginAmerica loved it. Can't wait for Monday's return flight... Mostly just to watch the inflight safety video again. #sorrynotsorry,@VirginAmerica, loved it. Can't wait for Monday's return flight... Mostly just to watch the inflight safety video again. #sorrynotsorry,0.6,0.65
308,@VirginAmerica happy to spend the day together. Let's do this!,@VirginAmerica, happy to spend the day together. Let's do this!,1.0,1.0
337,"@VirginAmerica Nice, Lofty View @flyLAXairport. #SilverStatus http://t.co/F4Tp0dAwbd",@VirginAmerica," Nice, Lofty View  #SilverStatus http://t.co/F4Tp0dAwbd",0.6,1.0
358,"@VirginAmerica just promoting the product is all, had a problem with southwest and recommend noneother than the best! http://t.co/tFaNXBh1Cf",@VirginAmerica," just promoting the product is all, had a problem with southwest and recommend noneother than the best! http://t.co/tFaNXBh1Cf",1.0,0.3
379,@VirginAmerica Just bought tix for ATX - Dallas route - thanks for adding that! Love yr airline &amp; yr website is BEST transactional site EVER,@VirginAmerica, Just bought tix for ATX - Dallas route - thanks for adding that! Love yr airline &amp; yr website is BEST transactional site EVER,0.5833333333333334,0.3666666666666667
387,@VirginAmerica a brilliant brisk am in Boston in cue for vx363 http://t.co/rMZNIVGmg6,@VirginAmerica, a brilliant brisk am in Boston in cue for vx363 http://t.co/rMZNIVGmg6,0.9,1.0
397,@VirginAmerica good to be home #texas #moodlighting http://t.co/N3BVZTY3zI,@VirginAmerica, good to be home #texas #moodlighting http://t.co/N3BVZTY3zI,0.7,0.6000000000000001
404,@VirginAmerica this is too cool!  Never been on ur planes but now I will!!,@VirginAmerica, this is too cool!  Never been on ur planes but now I will!!,0.68359375,0.65
406,@VirginAmerica great. Well deserved.,@VirginAmerica, great. Well deserved.,0.8,0.75
427,@VirginAmerica has the most INCREDIBLE customer service I've ever experienced! So refreshing!,@VirginAmerica, has the most INCREDIBLE customer service I've ever experienced! So refreshing!,0.75625,0.825
432,@VirginAmerica Nice to see you expanding in Texas but don't forget about us here in #SanDiego. I would love to see more flights out of here!,@VirginAmerica, Nice to see you expanding in Texas but don't forget about us here in #SanDiego. I would love to see more flights out of here!,0.5750000000000001,0.7000000000000001
439,"@VirginAmerica love it, taking @SouthwestAir on in their backyard! Consumers win when biz competes.",@VirginAmerica," love it, taking  on in their backyard! Consumers win when biz competes.",0.7125,0.5
440,@VirginAmerica ​ is flying from Love to Austin now. That is most excellent news.,@VirginAmerica, ​ is flying from Love to Austin now. That is most excellent news.,0.6666666666666666,0.7000000000000001
464,"Nice RT @VirginAmerica: The man of steel might be faster, but we have WiFi – just saying. #ScienceBehindTheExperience http://t.co/FGRbpAZSiX",,"Nice RT  The man of steel might be faster, but we have WiFi – just saying. #ScienceBehindTheExperience http://t.co/FGRbpAZSiX",0.6,1.0
471,@VirginAmerica Good point!,@VirginAmerica, Good point!,0.875,0.6000000000000001
475,@VirginAmerica Dad on Segway is the best part of this whole infographic!,@VirginAmerica, Dad on Segway is the best part of this whole infographic!,0.625,0.35
490,@VirginAmerica you guys are perfect as always! &lt;3 #WeRVirgin,@VirginAmerica, you guys are perfect as always! &lt;3 #WeRVirgin,1.0,1.0
498,@VirginAmerica just got on the 1pm in Newark home to LA. Your folks at EWR are incredible #letsgohome,@VirginAmerica, just got on the 1pm in Newark home to LA. Your folks at EWR are incredible #letsgohome,0.9,0.9
505,@united Thanks for taking care of that MR!! Happy customer.,@united, Thanks for taking care of that MR!! Happy customer.,0.55625,0.6
521,@united follow me please this airline is beautifull ♥,@united, follow me please this airline is beautifull ♥,1.0,1.0
527,@united just wanted to let you know how wonderful Rosetta the gate agent was working flight 6457 Dan to Ase. Let her know she wasappreciated,@united, just wanted to let you know how wonderful Rosetta the gate agent was working flight 6457 Dan to Ase. Let her know she wasappreciated,1.0,1.0
530,"@United the internet is a great thing.  I am emailing executives in your company, maybe they will respond to me in a timely manner.",@United," the internet is a great thing.  I am emailing executives in your company, maybe they will respond to me in a timely manner.",0.8,0.75
551,"@united Kewl. Will also let them know the overhead bin over my row was ""Inop"". I love a good abbreve.",@united," Kewl. Will also let them know the overhead bin over my row was ""Inop"". I love a good abbreve.",0.6,0.6000000000000001
558,"@united ""Airport snow removal method #22...""
Keep up the good work folks, this is where Cessna's become 747's! http://t.co/9v8tMUsJvU",@united," ""Airport snow removal method #22...""
Keep up the good work folks, this is where Cessna's become 747's! http://t.co/9v8tMUsJvU",0.875,0.6000000000000001
589,"@united 441, which also had 1 working WC in coach. Good thing this bird landed ahead of schedule. I have to use the WC stat.",@united," 441, which also had 1 working WC in coach. Good thing this bird landed ahead of schedule. I have to use the WC stat.",0.7,0.6000000000000001
591,"@united I just sent an email to Customer Care, telling them I may have to break up with you 😢. I sincerely hope they can help me!!",@united," I just sent an email to Customer Care, telling them I may have to break up with you 😢. I sincerely hope they can help me!!",0.78125,0.5
607,@united despite my bag not making it to Newark good informative email tracking updates help!,@united, despite my bag not making it to Newark good informative email tracking updates help!,0.875,0.6000000000000001
641,@united please be good to me this weekend!,@united, please be good to me this weekend!,0.875,0.6000000000000001
695,@united another awesome new plane flight 1584 and extremely nice Captain Steve Connolly.,@united, another awesome new plane flight 1584 and extremely nice Captain Steve Connolly.,0.5787878787878787,0.8181818181818182
735,@united you are one great airline ❤️,@united, you are one great airline ❤️,0.8,0.75
746,"@united yes, but still now answers. Many have not had their luggage for 3 days! Unacceptable!!",@united," yes, but still now answers. Many have not had their luggage for 3 days! Unacceptable!!",0.9765625,0.5
752,@united The bright side would be keeping the promise that was made to me. Hope you're having a good night. Thanks.,@united, The bright side would be keeping the promise that was made to me. Hope you're having a good night. Thanks.,0.5333333333333333,0.5333333333333333
820,"@united Why tell us flight is delayed, then tell us it's on time again with 20 min to spare? Don't say it's delayed unless you're sure!",@united," Why tell us flight is delayed, then tell us it's on time again with 20 min to spare? Don't say it's delayed unless you're sure!",0.625,0.8888888888888888
833,@united Made the upgrade list. Will fly 1st tomorrow (for 40 min) for the first time ever! 🙌 #StatusMatchPaidOff http://t.co/ATfRKp6goY,@united, Made the upgrade list. Will fly 1st tomorrow (for 40 min) for the first time ever! 🙌 #StatusMatchPaidOff http://t.co/ATfRKp6goY,0.55625,0.6166666666666667
869,Need more info on that! @united: @momsgoodeats We have great amenity kits. PJ's not included. We status match AA. ^KP”,,Need more info on that!   We have great amenity kits. PJ's not included. We status match AA. ^KP”,0.7125,0.625
877,@united Thanks to Karen Salisbury at IAH for amazing customer service!  Found my daughter's bag lost on UA1516.  Made her day!,@united, Thanks to Karen Salisbury at IAH for amazing customer service!  Found my daughter's bag lost on UA1516.  Made her day!,0.5687500000000001,0.55
886,"@united captain ""on behalf of the front office, welcome on board."".... Never heard that before. I laughed...hard.  #funnycaptain",@united," captain ""on behalf of the front office, welcome on board."".... Never heard that before. I laughed...hard.  #funnycaptain",0.8,0.9
889,@united These are great fares!!!!!,@united, These are great fares!!!!!,1.0,0.75
892,@united what's a good number to call to speak with someone about how you can fix what you did to 50 people and their luggage on Saturday?,@united, what's a good number to call to speak with someone about how you can fix what you did to 50 people and their luggage on Saturday?,0.7,0.6000000000000001
950,@united My favorite way to travel! Thank you! http://t.co/vGN2X1ckg0,@united, My favorite way to travel! Thank you! http://t.co/vGN2X1ckg0,0.78125,1.0
1013,"@united I am buying 2 yo own seat on 3 legs of intl trip, car seat? Required? If not- then allowed? Can child still sit w/mom after takeoff?",@united," I am buying 2 yo own seat on 3 legs of intl trip, car seat? Required? If not- then allowed? Can child still sit w/mom after takeoff?",0.6,1.0
1031,"@united @FlyEIA yes, they said it took more than an hour!",@united,"  yes, they said it took more than an hour!",0.625,0.5
1032,@united those whose pay to actually fly with you over 30k/ year deserve better service than a CC holder.,@united, those whose pay to actually fly with you over 30k/ year deserve better service than a CC holder.,0.65,0.7
1033,@united Ok thank again for your help!,@united, Ok thank again for your help!,0.625,0.5
1046,"@united nice your app says US 4972 delayed by weather.  Pilot says waiting on fuel.  One in ur control, one not",@united," nice your app says US 4972 delayed by weather.  Pilot says waiting on fuel.  One in ur control, one not",0.6,1.0
1060,Flight Booking Problems for a travel writers trip I am hosting and need to be happy when I land! Do you have the cute PJs AA does? @united,,Flight Booking Problems for a travel writers trip I am hosting and need to be happy when I land! Do you have the cute PJs AA does? ,0.75,1.0
1079,@united ok thx!,@united, ok thx!,0.625,0.5
1086,@united great to hear Thankyou so much. Greatly appreciate your replies. Feel much more settled now.,@united, great to hear Thankyou so much. Greatly appreciate your replies. Feel much more settled now.,0.7000000000000001,0.6666666666666666
1093,@united that's brilliant Thankyou so much. Is it classed as part of carryon?,@united, that's brilliant Thankyou so much. Is it classed as part of carryon?,0.55,0.6
1103,@united Great! I'm ready to go home.,@united, Great! I'm ready to go home.,0.6,0.625
1108,@united @JMS2802 : outsource it all United Airlines...your customers  are just loving you for it. Outsource. Outsource. Outsource.,@united,  : outsource it all United Airlines...your customers  are just loving you for it. Outsource. Outsource. Outsource.,0.6,0.95
1139,@united been on the phone for over an hour with customer service and they can't figure it out! awesome service... NOT!,@united, been on the phone for over an hour with customer service and they can't figure it out! awesome service... NOT!,1.0,1.0
1146,"@united b) I contacted you directly, and the phone service was Laissez Faire at best.  The problem isn't a Cancelled Flightled a flight.",@united," b) I contacted you directly, and the phone service was Laissez Faire at best.  The problem isn't a Cancelled Flightled a flight.",0.55,0.35
1177,@united just confirmed a seat! Crisis averted! Beers won't be missed now,@united, just confirmed a seat! Crisis averted! Beers won't be missed now,0.625,1.0
1179,@united looks like today will be my 6th consecutive delayed flight from you...do I win a prize??? @Southwest Air why don't you fly to SBA? 😭,@united, looks like today will be my 6th consecutive delayed flight from you...do I win a prize???  Air why don't you fly to SBA? 😭,0.8,0.65
1191,@united traveling with @MegZezzo who is injured. Gate agent in Chicago was awesome helping her. TY #roadwarrior,@united, traveling with  who is injured. Gate agent in Chicago was awesome helping her. TY #roadwarrior,1.0,1.0
1198,"@united @scotthroth scott, need a good book suggestion?",@united,"  scott, need a good book suggestion?",0.7,0.6000000000000001
1234,@united has the best customer experience via twitter - huge fan!!!,@united, has the best customer experience via twitter - huge fan!!!,0.890625,0.6
1244,@united at this point I made it home on my own.,@united, at this point I made it home on my own.,0.6,1.0
1275,@united jx4s2t if you can out today would be great it's our honeymoon and this delay you has put a damper on iy,@united, jx4s2t if you can out today would be great it's our honeymoon and this delay you has put a damper on iy,0.8,0.75
1298,"@united you've been officially displaced by @DeltaAssist for better flight experience, pleasant cabin crew and timeliness. UA 1m switching!",@united," you've been officially displaced by  for better flight experience, pleasant cabin crew and timeliness. UA 1m switching!",0.7083333333333333,0.7333333333333334
1306,@united Was able to send the DM. All good now.,@united, Was able to send the DM. All good now.,0.6,0.6125
1308,@united and after being on hold for an hour the day before to sort it out and being told it's fine it should be fine when you arrive to fly,@united, and after being on hold for an hour the day before to sort it out and being told it's fine it should be fine when you arrive to fly,0.5444444444444444,0.6333333333333333
1336,@united thanks for the upgrade today great way to start my week! Cc: @CiscoJimFrench @cobedien,@united, thanks for the upgrade today great way to start my week! Cc:  ,0.6,0.475
1343,@united I am impressed with your super-fast reply to @CGJase,@united, I am impressed with your super-fast reply to ,1.0,1.0
1344,"@united hi JP, with the help of an awesome TSA representative, I was able to get it all taken care of. Thank you!",@united," hi JP, with the help of an awesome TSA representative, I was able to get it all taken care of. Thank you!",0.8125,0.8125
1377,@united I am very glad I took care of own rescheduling now that UA 1580 from OGG was Cancelled Flightled. http://t.co/H3k3oWOhD1,@united, I am very glad I took care of own rescheduling now that UA 1580 from OGG was Cancelled Flightled. http://t.co/H3k3oWOhD1,0.625,1.0
1411,@united you're my early frontrunner for best airline! #oscars2016,@united, you're my early frontrunner for best airline! #oscars2016,0.55,0.3
1447,@united it was me who had the problem won flight ua 1580. I called and rebooked myself found my own hotel and taxi,@united, it was me who had the problem won flight ua 1580. I called and rebooked myself found my own hotel and taxi,0.6,1.0
1465,@united he is so excellent and so reliable :) #happycustomer,@united, he is so excellent and so reliable :) #happycustomer,0.75,1.0
1470,@united it was delivered! Thank you for making sure it arrived at my doorstep!,@united, it was delivered! Thank you for making sure it arrived at my doorstep!,0.625,0.8888888888888888
1494,@united You're trying to solve problem of your own making. Charging for checked luggage forces checking at gate. Brilliant.,@united, You're trying to solve problem of your own making. Charging for checked luggage forces checking at gate. Brilliant.,0.75,1.0
1501,@United landed in den on time stuck waiting for gate for 30 min. Maybe an update would be a good idea capt?,@United, landed in den on time stuck waiting for gate for 30 min. Maybe an update would be a good idea capt?,0.7,0.6000000000000001
1537,@united good try but @SouthwestAir got her here safer and sooner,@united, good try but  got her here safer and sooner,0.7,0.6000000000000001
1577,@United Claudia in IAH terminal b travel assistance has me all set. Great service. Thank you.,@United, Claudia in IAH terminal b travel assistance has me all set. Great service. Thank you.,0.8,0.75
1604,@united Denver baggage handlers you totally impressed us today. Our lungs barely made the run to connect but our bags had no problem! #DEN,@united, Denver baggage handlers you totally impressed us today. Our lungs barely made the run to connect but our bags had no problem! #DEN,0.53125,0.55
1610,"@united Good evening, UA. Can you assist with an issue via DM?",@united," Good evening, UA. Can you assist with an issue via DM?",0.7,0.6000000000000001
1624,“@united: @rikrik__ What made you come to this? Can we help you with anything? ^JP” the service just hasn't been great.,,“  What made you come to this? Can we help you with anything? ^JP” the service just hasn't been great.,0.8,0.75
1636,"@united you all do a wonderful job today. Got my wife, daughter, and myself from PGH to Orlando after out flight was delayed luggage and all",@united," you all do a wonderful job today. Got my wife, daughter, and myself from PGH to Orlando after out flight was delayed luggage and all",1.0,1.0
1642,@united I am UA elite Gold and have a UA Chase pres. plus credit card.  How many EQM's do I need to get Platinum Elite!,@united, I am UA elite Gold and have a UA Chase pres. plus credit card.  How many EQM's do I need to get Platinum Elite!,0.625,0.5
1643,@united. Once again your lack of customer centricity us astounding,@united., Once again your lack of customer centricity us astounding,0.6,1.0
1666,@united of course. But interesting how United doesn't seem to have a good sense on what's happening with flight,@united, of course. But interesting how United doesn't seem to have a good sense on what's happening with flight,0.6,0.55
1672,@united Thank y'all for being an amazing airline who knows how to treat their customers. you guys rock!,@united, Thank y'all for being an amazing airline who knows how to treat their customers. you guys rock!,0.7500000000000001,0.9
1729,@united I would take the $500 voucher you offered for MISCOUNTING THE # OF SEATS ON YOUR PLANE but that means I would have to fly you again,@united, I would take the $500 voucher you offered for MISCOUNTING THE # OF SEATS ON YOUR PLANE but that means I would have to fly you again,0.8,0.9
1737,@united make sure you take care of @LSUsoftball team &amp; @LSUQuinlanDuhon team. We are 16-0!!!!,@united, make sure you take care of  team &amp;  team. We are 16-0!!!!,1.0,0.8888888888888888
1762,@united this is why I fly @SouthwestAir ... Never have any issues,@united, this is why I fly  ... Never have any issues,0.8,0.9
1765,@united great flight into PVD. Smallest plane I have ever been on and smoothest landing ever!,@united, great flight into PVD. Smallest plane I have ever been on and smoothest landing ever!,1.0,0.75
1789,"@united thank you for dishonoring my upgrade and putting me in a seat I didn't want, all while not even notifying me.  Great 1K service 👎",@united," thank you for dishonoring my upgrade and putting me in a seat I didn't want, all while not even notifying me.  Great 1K service 👎",0.8,0.75
1807,@united more people would catch their flights if your attendants had more help!,@united, more people would catch their flights if your attendants had more help!,0.5625,0.5
1817,"@united welcome to our world, that's a snow world today. @GooseBayAirport Goose Bay, Labrador, Canada. http://t.co/4kI6Xr67nk",@united," welcome to our world, that's a snow world today.  Goose Bay, Labrador, Canada. http://t.co/4kI6Xr67nk",0.8,0.9
1827,@united your agents (and service) on my weekend trip have been AMAZING!!! Thank you!!,@united, your agents (and service) on my weekend trip have been AMAZING!!! Thank you!!,1.0,0.9
1839,@united   Pushing 2 hours on hold. Priceless. http://t.co/thS10LDY2a,@united,   Pushing 2 hours on hold. Priceless. http://t.co/thS10LDY2a,1.0,1.0
1853,@united amazing hospitality and helpfulness from Anthony Lastella. Great staff 👏👏👏✈️ def flying #united again.,@united, amazing hospitality and helpfulness from Anthony Lastella. Great staff 👏👏👏✈️ def flying #united again.,0.7000000000000001,0.825
1861,"@united it was very comfortable, now waiting for our luggage",@united," it was very comfortable, now waiting for our luggage",0.52,1.0
1885,@united employee=faceless. Don't throw them under the bus. Starts with management. I'm almost a million miler and own my own company. 1/2,@united, employee=faceless. Don't throw them under the bus. Starts with management. I'm almost a million miler and own my own company. 1/2,0.6,1.0
1929,@united I would like your baggage damage number as well! Another great thing from your 'trained' staff! Whats the number please.. Claim time,@united, I would like your baggage damage number as well! Another great thing from your 'trained' staff! Whats the number please.. Claim time,1.0,0.75
1936,@united they wouldn't let me on. Real nice of you! Just love your awesome service. And U have 2 people working this customer service line..,@united, they wouldn't let me on. Real nice of you! Just love your awesome service. And U have 2 people working this customer service line..,0.8333333333333334,0.8666666666666667
1943,@united they let us board again but will we fly this time? Who knows! #shouldhaveflowndelta,@united, they let us board again but will we fly this time? Who knows! #shouldhaveflowndelta,1.0,0.9
1950,@united if you lost my belongings then BE HONEST!,@united, if you lost my belongings then BE HONEST!,0.75,0.9
1963,@united I have never been mislead by a company as many times as I have this week by United Airlines!,@united, I have never been mislead by a company as many times as I have this week by United Airlines!,0.625,0.5
1976,@united Good luck with the no-enertainment-on-6-hour-flights strategy. Innovation at work. Hello @jetblue http://t.co/HI76BOavXY,@united, Good luck with the no-enertainment-on-6-hour-flights strategy. Innovation at work. Hello  http://t.co/HI76BOavXY,0.7,0.6000000000000001
2002,"@united Do you have plans for an iPad app?  The iPhone app is great, but on the  iPad you have to flip the iPad.  Is there a beta? Tks.",@united," Do you have plans for an iPad app?  The iPhone app is great, but on the  iPad you have to flip the iPad.  Is there a beta? Tks.",0.8,0.75
2050,@united and the fact that we were treated disrespectfully and lied to by members of your airline that claims to strive for the best,@united, and the fact that we were treated disrespectfully and lied to by members of your airline that claims to strive for the best,1.0,0.3
2090,@united Can I get a follow? I fly with you for Christmas.,@united, Can I get a follow? I fly with you for Christmas.,0.8,0.9
2092,@united look at all the delta flights that landed while your pilots claimed they couldn't fly 6232 to JAC. http://t.co/6Kp4m0R1f7,@united, look at all the delta flights that landed while your pilots claimed they couldn't fly 6232 to JAC. http://t.co/6Kp4m0R1f7,0.8,0.9
2116,@united it would be great to get a callback from the agent that disconnected me trying to put me on hold after waiting to connectfor 60+min,@united, it would be great to get a callback from the agent that disconnected me trying to put me on hold after waiting to connectfor 60+min,0.8,0.75
2130,@united What a really GREAT &amp; FLATTERING story about you! You should be very proud :) http://t.co/7br5t5QCXk (via @ParachuteGuy),@united, What a really GREAT &amp; FLATTERING story about you! You should be very proud :) http://t.co/7br5t5QCXk (via ,0.8333333333333334,0.9166666666666666
2191,@united what's the best way to get your tickets? Print off at home or go to check in desk?,@united, what's the best way to get your tickets? Print off at home or go to check in desk?,1.0,0.3
2202,@united trying to get a customer service agent.  Just landed in SFO.  Can't fly with 3 layovers with 3 kids!!,@united, trying to get a customer service agent.  Just landed in SFO.  Can't fly with 3 layovers with 3 kids!!,1.0,0.9
2206,@united more and more delays! No CS help at all! No notifications!,@united, more and more delays! No CS help at all! No notifications!,0.73828125,0.5
2235,@united is there another airport closer to Calgary we can fly out of tomorrow.,@united, is there another airport closer to Calgary we can fly out of tomorrow.,0.8,0.9
2259,@united tonight you made this Fred Flintstone happy with an upgrade to 1st class. http://t.co/gKgKZLAwpR,@united, tonight you made this Fred Flintstone happy with an upgrade to 1st class. http://t.co/gKgKZLAwpR,0.8,1.0
2262,@united  your costumer service today in the Providence airport was sucked. Recommend your airline learn to check the weather and be honest,@united,  your costumer service today in the Providence airport was sucked. Recommend your airline learn to check the weather and be honest,0.6,0.9
2264,@united that's great! pls let me know when u start!,@united, that's great! pls let me know when u start!,1.0,0.75
2303,@united Kurt and the crew on UA1745 were amazing today. They made my son's birthday with their kindness. Hope to fly with them again soon!,@united, Kurt and the crew on UA1745 were amazing today. They made my son's birthday with their kindness. Hope to fly with them again soon!,0.8,0.9
